,wheatfield,ranch,forest,mine,appleorchard,bakery,conveniencestore,cheesefactory,furniturefactory,fruitandveggiemarket,cafe,familyrestaurant,stadium,tvstation,businesscenter,trainstation,shoppingmall,amusementpark,radiotower,gold
0,2,2,1,4,1,2,2,3,0,1,1,2,1,1,1,1,1,1,1,5
1,3,0,2,1,1,3,2,1,2,1,1,0,0,1,1,1,1,1,1,12
2,2,2,0,2,1,3,1,2,0,3,2,0,1,1,1,1,1,1,1,8
3,4,0,0,0,1,3,1,1,1,3,2,2,0,1,1,1,1,1,1,9
4,1,0,2,1,1,4,2,0,2,1,1,3,1,1,0,1,1,1,1,7
5,2,3,3,1,2,2,1,1,1,2,0,2,1,1,0,1,1,1,1,7
6,3,1,2,3,3,2,2,1,1,2,0,0,1,1,1,1,1,1,1,11
7,3,1,1,5,2,2,1,0,3,1,0,0,1,1,1,1,1,1,1,7
8,2,1,1,1,3,4,0,0,2,1,0,2,0,1,0,1,1,1,1,1
9,4,1,3,2,1,3,1,0,2,1,1,1,1,0,1,1,1,1,1,14
10,3,1,2,2,4,2,0,2,1,2,0,1,1,0,1,1,1,1,1,16
11,3,4,2,2,2,1,1,1,2,1,0,1,1,1,0,1,1,1,1,8
12,4,1,1,1,2,3,0,0,1,3,1,2,1,0,0,1,1,1,1,14
13,4,2,0,3,2,2,1,1,3,1,0,2,1,1,1,1,1,1,1,39
14,5,1,0,0,4,4,1,0,0,0,3,2,1,1,1,1,1,1,1,2
15,1,2,1,3,1,3,0,2,1,0,3,0,1,1,1,1,1,1,1,8
16,2,1,4,0,0,2,0,2,2,2,4,0,0,1,0,1,1,1,1,7
17,2,2,3,0,2,3,1,1,0,1,1,2,1,0,1,1,1,1,1,4
18,2,3,0,2,4,3,0,1,1,1,0,1,1,1,1,1,1,1,1,10
19,2,2,2,1,2,3,1,3,1,2,1,1,1,1,1,1,1,1,1,0
20,2,3,4,0,1,4,1,0,1,0,0,2,1,1,1,1,1,1,1,0
21,2,0,0,6,2,3,2,1,2,1,0,0,1,1,1,1,1,1,1,21
22,4,1,3,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,21
23,2,3,1,5,2,1,2,3,1,1,2,0,0,1,1,1,1,1,1,25
24,2,0,1,2,2,3,2,3,2,0,2,2,1,1,1,1,1,1,1,5
25,3,1,1,2,2,3,3,1,0,1,1,1,1,1,1,1,1,1,1,13
26,1,4,0,2,1,3,3,3,0,1,0,1,1,1,1,1,1,1,1,30
27,4,0,1,1,1,1,2,1,1,2,2,3,0,0,1,1,1,1,1,27
28,3,2,3,2,0,3,2,0,3,0,1,1,1,1,1,1,1,1,1,12
29,3,3,1,1,0,3,2,0,1,1,2,1,1,1,1,1,1,1,1,10
30,3,1,2,1,1,2,2,2,0,1,0,2,1,1,0,1,1,1,1,26
31,3,1,0,5,0,2,1,0,3,1,0,0,1,1,1,1,1,1,1,49
32,1,2,1,2,1,4,2,2,1,2,1,0,0,1,1,1,1,1,1,4
33,3,2,0,1,3,2,1,2,1,2,3,0,1,1,1,1,1,1,1,7
34,1,2,1,3,3,2,3,0,1,0,2,1,1,1,1,1,1,1,1,23
35,3,3,0,3,2,4,1,0,1,0,1,2,1,1,1,1,1,1,1,18
36,2,3,2,2,2,2,2,2,0,0,0,2,1,0,1,1,1,1,1,25
37,2,0,3,0,1,4,4,1,1,2,0,3,1,1,1,1,1,1,1,38
38,2,1,1,1,0,2,5,1,0,3,2,1,1,1,1,1,1,1,1,6
39,4,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,0
40,4,1,2,3,2,1,2,2,2,1,0,0,1,1,1,1,1,1,1,0
41,4,2,2,3,0,1,1,0,2,2,0,3,1,1,1,1,1,1,1,11
42,2,2,2,0,2,3,1,2,1,1,2,0,1,1,0,1,1,1,1,1
43,3,2,2,0,0,3,3,0,1,1,1,2,1,0,0,1,1,1,1,6
44,1,1,2,1,1,4,2,3,0,3,1,3,1,1,1,1,1,1,1,43
45,2,2,0,2,2,2,1,0,1,2,3,2,1,0,1,1,1,1,1,6
